571.254	247.829
571.252	247.83
571.251	247.831
571.249	247.831
571.246	247.833
571.244	247.834
571.242	247.835
571.239	247.836
571.236	247.838
571.233	247.84
571.23	247.842
571.227	247.843
571.223	247.845
571.219	247.848
571.216	247.85
571.211	247.853
571.206	247.855
571.202	247.857
571.197	247.86
571.192	247.863
571.188	247.864
571.184	247.866
571.181	247.868
571.177	247.87
571.174	247.872
571.172	247.873
571.169	247.874
571.167	247.875
571.166	247.876
571.164	247.877
571.163	247.877
571.163	247.877
571.162	247.878
571.162	247.878
571.162	247.878
571.163	247.877
571.163	247.877
571.163	247.877
571.163	247.877
571.163	247.877
571.164	247.877
571.164	247.877
571.164	247.877
571.164	247.877
571.164	247.877
571.164	247.877
571.164	247.877
571.164	247.877
571.164	247.877
571.164	247.876
571.163	247.876
571.148	247.885
571.088	247.918
571	247.967
570.831	248.062
570.675	248.15
570.447	248.28
570.239	248.399
570.127	248.463
570.049	248.508
570.02	248.525
570.008	248.532
569.993	248.542
569.977	248.552
569.965	248.559
569.95	248.569
569.938	248.577
569.922	248.586
569.906	248.596
569.894	248.603
569.877	248.613
569.861	248.622
569.849	248.63
569.832	248.639
569.816	248.649
569.804	248.656
569.789	248.666
569.777	248.673
569.761	248.683
569.745	248.693
569.733	248.7
569.716	248.71
569.7	248.719
569.688	248.726
569.672	248.737
569.656	248.747
569.643	248.754
569.627	248.764
569.614	248.771
569.597	248.781
569.579	248.792
569.566	248.8
569.548	248.81
569.53	248.821
569.517	248.829
569.499	248.84
569.481	248.852
569.467	248.86
569.449	248.871
569.435	248.879
569.416	248.891
569.397	248.903
569.382	248.912
569.362	248.924
569.343	248.936
569.328	248.946
569.307	248.958
569.286	248.971
569.271	248.981
569.249	248.994
569.233	249.003
569.211	249.017
569.189	249.03
569.172	249.04
569.149	249.054
569.126	249.068
569.109	249.078
569.085	249.093
569.061	249.107
569.043	249.118
569.018	249.133
568.999	249.144
568.974	249.16
568.949	249.176
568.929	249.188
568.903	249.204
568.877	249.22
568.858	249.232
568.831	249.249
568.805	249.265
568.785	249.278
568.758	249.294
568.738	249.307
568.711	249.324
568.683	249.341
568.663	249.353
568.635	249.371
568.607	249.388
568.585	249.401
568.556	249.418
568.526	249.435
568.504	249.449
568.475	249.467
568.453	249.481
568.424	249.5
568.394	249.519
568.372	249.533
568.342	249.552
568.312	249.571
568.289	249.585
568.259	249.604
568.228	249.623
568.205	249.637
568.174	249.656
568.15	249.67
568.119	249.689
568.087	249.708
568.063	249.722
568.032	249.741
568	249.759
567.977	249.774
567.946	249.793
567.914	249.812
567.89	249.826
567.858	249.845
567.834	249.859
567.802	249.878
567.769	249.897
567.745	249.912
567.712	249.93
567.68	249.949
567.656	249.963
567.623	249.982
567.59	250
567.565	250.015
567.533	250.033
567.508	250.048
567.475	250.066
567.442	250.085
567.418	250.099
567.385	250.118
567.352	250.136
567.327	250.151
567.294	250.17
567.261	250.19
567.236	250.205
567.201	250.225
567.176	250.24
567.143	250.26
567.11	250.278
567.086	250.292
567.054	250.31
567.021	250.329
566.997	250.342
566.966	250.361
566.934	250.379
566.911	250.392
566.88	250.41
566.858	250.423
566.828	250.441
566.798	250.459
566.776	250.472
566.746	250.489
566.717	250.507
566.696	250.52
566.669	250.537
566.642	250.554
566.622	250.567
566.596	250.585
566.576	250.598
566.551	250.616
566.527	250.633
566.509	250.645
566.486	250.661
566.463	250.678
566.446	250.69
566.424	250.707
566.403	250.725
566.388	250.738
566.368	250.757
566.353	250.772
566.334	250.792
566.316	250.812
566.303	250.828
566.287	250.849
566.272	250.87
566.262	250.886
566.249	250.908
566.239	250.929
566.232	250.946
566.223	250.969
566.217	250.986
566.209	251.01
566.201	251.033
566.195	251.051
566.188	251.075
566.183	251.099
566.179	251.118
566.175	251.143
566.173	251.168
566.172	251.188
566.171	251.214
566.171	251.233
566.172	251.26
566.174	251.287
566.177	251.307
566.183	251.335
566.19	251.363
566.196	251.385
566.205	251.413
566.215	251.442
566.223	251.463
566.234	251.492
566.243	251.513
566.255	251.542
566.269	251.571
566.279	251.593
566.294	251.622
566.31	251.651
566.322	251.673
566.338	251.702
566.356	251.732
566.369	251.754
566.387	251.783
566.401	251.805
566.421	251.835
566.44	251.864
566.455	251.886
566.475	251.916
566.495	251.945
566.511	251.967
566.533	251.997
566.554	252.027
566.571	252.049
566.593	252.079
566.61	252.101
566.634	252.131
566.657	252.161
566.675	252.183
566.698	252.214
566.722	252.244
566.739	252.266
566.764	252.296
566.788	252.326
566.807	252.349
566.831	252.379
566.85	252.402
566.875	252.433
566.9	252.464
566.919	252.486
566.945	252.517
566.97	252.548
566.989	252.571
567.014	252.602
567.039	252.633
567.059	252.657
567.085	252.688
567.104	252.712
567.131	252.744
567.158	252.775
567.177	252.799
567.204	252.832
567.231	252.864
567.25	252.888
567.277	252.921
567.304	252.953
567.324	252.977
567.351	253.01
567.371	253.034
567.398	253.066
567.425	253.099
567.445	253.124
567.471	253.157
567.498	253.191
567.518	253.216
567.545	253.249
567.571	253.283
567.59	253.308
567.616	253.342
567.636	253.367
567.662	253.401
567.69	253.434
567.71	253.459
567.738	253.492
567.766	253.525
567.787	253.55
567.815	253.583
567.843	253.616
567.865	253.641
567.895	253.675
567.917	253.7
567.945	253.734
567.973	253.768
567.994	253.794
568.022	253.827
568.049	253.861
568.07	253.887
568.098	253.92
568.126	253.954
568.147	253.98
568.174	254.014
568.194	254.039
568.222	254.073
568.249	254.107
568.271	254.132
568.299	254.166
568.328	254.2
568.35	254.225
568.379	254.259
568.407	254.292
